Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
37.0,72.9,48.9,Laterite,Millets,38,22,18,20-20
30.0,71.9,25.8,Sandy,Barley,1,43,23,10-26-26
21.6,48.3,37.2,Black,Groundnuts,21,24,43,17-17-17
30.2,46.3,36.7,Red,Rice,15,46,14,10-26-26
28.3,66.7,26.9,Laterite,Wheat,6,8,20,20-20
37.0,83.5,57.3,Black,Millets,8,1,25,20-20
26.8,45.5,44.8,Laterite,Cotton,46,13,34,28-28
21.6,74.0,42.0,Laterite,Rice,41,28,3,14-35-14
27.0,57.8,62.1,Black,Maize,30,14,47,28-28
21.9,42.0,38.0,Clayey,Barley,15,17,44,20-20
37.3,67.3,36.0,Black,Sugarcane,28,44,14,14-35-14
37.7,74.8,32.9,Alluvial,Rice,23,16,10,20-20
33.8,67.3,62.1,Red,Barley,40,6,27,28-28
24.6,42.9,37.4,Laterite,Pulses,23,34,36,17-17-17
35.7,61.2,29.8,Clayey,Barley,13,0,2,20-20
22.7,51.5,26.6,Black,Sugarcane,14,25,14,20-20
20.2,41.4,50.5,Laterite,Tobacco,31,29,3,14-35-14
30.1,64.3,33.1,Loamy,Sugarcane,12,6,31,DAP
35.6,68.1,36.8,Clayey,Wheat,5,27,27,20-20
35.7,54.6,29.9,Clayey,Cotton,24,32,38,17-17-17
31.0,40.0,39.1,Alluvial,Rice,2,5,38,DAP
26.3,50.0,29.8,Red,Barley,43,14,23,20-20
26.1,42.9,35.2,Alluvial,Groundnuts,11,1,38,DAP
21.0,84.9,35.7,Alluvial,Wheat,1,27,1,20-20
23.6,80.9,34.6,Loamy,Groundnuts,1,25,43,20-20
31.4,74.3,34.5,Loamy,Groundnuts,37,4,23,20-20
30.7,64.1,28.6,Black,Cotton,32,5,8,Urea
24.5,49.9,53.4,Laterite,Wheat,18,31,19,10-26-26
36.8,57.9,45.7,Laterite,Millets,39,10,0,Urea
22.2,64.4,52.8,Alluvial,Pulses,6,25,15,20-20
28.6,50.9,28.7,Laterite,Pulses,11,36,4,10-26-26
23.6,71.5,58.9,Alluvial,Millets,19,32,23,10-26-26
19.7,47.3,60.9,Laterite,Barley,19,47,34,10-26-26
37.5,52.8,37.2,Red,Pulses,1,15,34,20-20
32.2,50.7,38.0,Laterite,Pulses,19,6,7,20-20
24.2,64.4,45.4,Alluvial,Wheat,21,45,21,17-17-17
25.9,80.1,50.2,Clayey,Groundnuts,33,29,20,20-20
31.4,78.9,34.2,Laterite,Rice,47,3,18,20-20
18.9,84.8,43.8,Alluvial,Wheat,45,34,5,14-35-14
36.6,59.3,63.7,Sandy,Pulses,34,20,32,20-20
24.3,47.6,47.3,Alluvial,Millets,30,39,2,14-35-14
30.3,84.6,30.6,Black,Barley,26,1,41,28-28
35.0,46.1,53.4,Alluvial,Tobacco,38,41,28,17-17-17
34.2,79.0,61.5,Black,Millets,6,44,35,10-26-26
19.4,57.9,27.0,Alluvial,Cotton,22,27,14,14-35-14
26.8,70.2,38.1,Black,Maize,21,48,21,17-17-17
34.5,56.2,30.1,Black,Cotton,32,43,7,14-35-14
19.7,42.3,46.3,Loamy,Sugarcane,46,39,34,17-17-17
37.4,72.2,26.6,Sandy,Cotton,18,25,27,20-20
37.3,77.6,52.8,Black,Sugarcane,0,46,0,10-26-26
19.9,48.2,62.4,Clayey,Maize,0,38,15,10-26-26
32.6,42.1,47.6,Clayey,Sugarcane,36,28,21,17-17-17
18.8,78.5,53.1,Loamy,Sugarcane,11,25,15,20-20
27.5,47.8,42.4,Sandy,Tobacco,22,4,9,20-20
23.2,40.7,62.3,Black,Cotton,31,4,0,Urea
36.9,79.0,50.5,Loamy,Cotton,19,11,23,20-20
30.9,60.6,46.8,Red,Maize,36,2,11,Urea
31.0,49.3,36.0,Alluvial,Rice,11,45,30,10-26-26
19.9,70.7,27.8,Sandy,Maize,7,25,28,20-20
24.8,51.7,44.8,Black,Tobacco,49,10,44,28-28
26.4,83.5,46.9,Laterite,Barley,36,23,8,14-35-14
32.6,45.7,35.0,Alluvial,Wheat,31,22,23,17-17-17
26.6,73.8,55.2,Laterite,Sugarcane,40,16,29,20-20
27.9,57.5,36.9,Clayey,Rice,18,35,48,10-26-26
19.8,54.4,63.0,Red,Pulses,18,15,46,20-20
23.9,54.8,51.9,Sandy,Sugarcane,35,15,22,20-20
19.8,62.2,27.3,Loamy,Pulses,30,34,4,14-35-14
25.0,45.3,30.7,Sandy,Millets,9,16,43,20-20
26.5,50.0,40.9,Loamy,Groundnuts,26,4,1,20-20
37.7,56.8,39.8,Clayey,Sugarcane,16,24,6,20-20
25.5,43.8,56.1,Laterite,Cotton,38,9,26,28-28
20.2,62.2,25.5,Red,Tobacco,27,27,19,20-20
34.5,73.5,52.2,Sandy,Barley,27,24,48,17-17-17
22.5,83.3,25.5,Alluvial,Barley,31,46,44,17-17-17
36.5,81.4,35.1,Clayey,Sugarcane,18,17,19,20-20
31.9,60.5,50.1,Alluvial,Pulses,2,22,15,20-20
23.6,82.8,60.6,Red,Pulses,11,27,23,20-20
21.8,60.9,39.1,Black,Sugarcane,49,27,27,17-17-17
23.2,60.4,26.3,Alluvial,Sugarcane,8,19,32,20-20
36.8,58.7,48.2,Sandy,Wheat,24,9,1,20-20
35.3,42.0,26.1,Clayey,Barley,32,17,0,20-20
29.9,57.1,63.8,Red,Rice,26,12,48,28-28
18.7,46.0,25.5,Black,Rice,5,16,27,20-20
33.0,81.1,48.4,Loamy,Sugarcane,36,9,9,Urea
22.8,49.2,35.1,Alluvial,Wheat,44,3,12,Urea
33.1,42.1,35.7,Alluvial,Rice,38,33,25,17-17-17
34.6,53.8,57.7,Clayey,Groundnuts,43,29,4,14-35-14
20.7,41.3,55.2,Alluvial,Pulses,20,1,13,20-20
20.7,40.7,39.0,Loamy,Wheat,33,29,17,20-20
32.5,64.6,43.0,Loamy,Wheat,14,41,29,10-26-26
37.0,46.6,62.1,Alluvial,Wheat,9,19,16,20-20
37.6,62.2,38.2,Sandy,Barley,42,47,42,17-17-17
20.6,45.8,31.1,Loamy,Wheat,15,3,7,20-20
24.9,80.4,44.0,Laterite,Barley,28,49,31,17-17-17
18.8,47.6,36.1,Red,Tobacco,21,5,20,20-20
27.2,49.3,39.6,Sandy,Rice,13,44,25,10-26-26
34.0,68.3,28.3,Black,Pulses,29,47,42,17-17-17
35.4,43.8,48.9,Black,Rice,14,21,46,20-20
25.4,60.8,54.9,Laterite,Tobacco,13,2,6,20-20
33.0,41.4,59.7,Clayey,Millets,37,14,34,28-28
25.5,40.9,37.9,Loamy,Pulses,38,25,21,17-17-17
24.9,61.3,39.2,Alluvial,Pulses,40,17,44,20-20
32.7,65.1,48.5,Loamy,Cotton,43,41,18,20-20
25.3,69.1,47.8,Sandy,Pulses,44,36,5,14-35-14
18.2,50.1,39.6,Alluvial,Pulses,47,29,3,14-35-14
34.8,42.3,25.7,Loamy,Barley,36,23,35,17-17-17
29.5,81.3,25.2,Black,Groundnuts,48,37,29,17-17-17
36.6,65.1,47.9,Clayey,Wheat,44,4,43,28-28
24.5,59.1,45.3,Black,Groundnuts,48,46,11,14-35-14
33.4,43.9,45.2,Black,Rice,35,42,12,14-35-14
25.4,60.4,46.9,Alluvial,Wheat,9,1,43,DAP
19.8,46.2,25.1,Black,Barley,8,14,10,20-20
26.2,55.7,62.2,Clayey,Barley,43,13,49,28-28
36.8,48.2,27.7,Red,Sugarcane,39,28,21,17-17-17
33.9,49.1,31.5,Red,Barley,20,4,36,20-20
30.7,80.9,37.6,Red,Wheat,41,17,24,20-20
32.3,80.5,50.0,Loamy,Barley,32,14,22,20-20
25.1,57.6,46.3,Alluvial,Rice,39,38,39,17-17-17
36.8,68.2,38.4,Clayey,Wheat,14,28,46,20-20
32.8,65.8,64.9,Laterite,Rice,32,26,36,17-17-17
18.7,65.6,55.5,Alluvial,Millets,9,37,32,10-26-26
20.5,57.9,56.9,Sandy,Cotton,4,46,28,10-26-26
33.4,40.5,48.9,Laterite,Cotton,35,25,35,17-17-17
21.6,80.9,48.3,Laterite,Sugarcane,7,46,22,10-26-26
30.3,81.0,30.6,Clayey,Tobacco,17,32,24,10-26-26
29.9,44.6,61.8,Laterite,Barley,4,7,36,DAP
29.5,67.3,42.0,Alluvial,Tobacco,28,39,13,14-35-14
36.2,45.5,34.4,Clayey,Pulses,25,35,45,17-17-17
36.4,79.1,45.8,Loamy,Groundnuts,39,20,14,20-20
24.7,76.1,25.2,Sandy,Pulses,40,24,34,17-17-17
36.5,61.0,44.2,Red,Tobacco,26,42,16,20-20
21.5,62.4,41.8,Clayey,Wheat,23,48,32,17-17-17
18.3,69.9,32.1,Black,Groundnuts,19,48,40,10-26-26
35.2,64.1,32.4,Clayey,Cotton,6,31,0,10-26-26
22.2,80.4,33.2,Red,Millets,28,44,48,17-17-17
19.3,74.9,43.1,Red,Barley,1,48,27,10-26-26
29.2,47.0,32.3,Clayey,Maize,28,2,38,28-28
35.9,63.7,57.0,Black,Tobacco,27,49,31,17-17-17
26.2,64.8,35.2,Sandy,Millets,22,46,7,14-35-14
35.7,65.1,53.8,Red,Sugarcane,34,23,31,17-17-17
34.6,57.9,51.7,Clayey,Barley,20,30,13,20-20
18.3,43.8,33.3,Black,Millets,18,18,47,20-20
26.4,80.2,57.7,Sandy,Cotton,19,41,10,10-26-26
29.8,52.1,50.0,Red,Maize,37,8,29,28-28
23.9,82.7,55.5,Sandy,Maize,23,9,16,20-20
35.9,76.0,42.0,Red,Barley,16,8,13,20-20
30.7,51.6,30.6,Black,Barley,42,3,45,28-28
36.0,71.1,52.3,Black,Tobacco,5,20,17,20-20
28.0,43.0,41.2,Laterite,Tobacco,37,22,11,14-35-14
20.8,51.9,35.7,Black,Sugarcane,26,33,39,17-17-17
21.5,81.1,41.8,Sandy,Pulses,27,1,45,28-28
21.7,44.1,55.8,Red,Groundnuts,28,10,20,20-20
25.1,72.4,36.9,Red,Barley,34,46,33,17-17-17
20.7,61.8,35.8,Clayey,Barley,46,18,19,20-20
19.0,62.3,48.9,Laterite,Wheat,33,25,8,14-35-14
24.9,55.8,41.5,Sandy,Maize,42,41,39,17-17-17
19.5,43.5,25.1,Loamy,Pulses,29,33,37,17-17-17
19.8,81.3,30.5,Sandy,Wheat,9,46,48,10-26-26
32.6,76.3,51.4,Red,Barley,15,7,5,20-20
27.8,50.0,64.5,Black,Pulses,44,46,25,17-17-17
38.0,65.0,43.9,Loamy,Tobacco,6,14,13,20-20
23.9,81.6,63.8,Loamy,Sugarcane,22,17,28,20-20
27.1,63.5,50.8,Loamy,Cotton,13,23,30,20-20
20.4,43.5,52.9,Laterite,Wheat,39,22,25,17-17-17
34.1,64.2,51.5,Loamy,Millets,12,32,17,10-26-26
22.7,41.1,59.8,Laterite,Tobacco,29,12,12,20-20
